Paper Planes
M.I.A., DFA
1732579200000,8123
1732665600000,8126
1732752000000,8123
1732838400000,8125
1732924800000,8123
1733011200000,8124
1733097600000,8134
1733184000000,8135
1733270400000,8127
1733356800000,8129
1733443200000,8130
1733529600000,8266
1733616000000,8442
1733702400000,8628
1733788800000,8672
1733875200000,8719
1733961600000,8720
1734048000000,8730
1734134400000,8725
1734220800000,8729
1734307200000,8730
1734393600000,8733
1734480000000,8738
1734566400000,8747
1734652800000,8751
1734739200000,8757
1734825600000,8767
1734912000000,8766
1734998400000,8767
1735084800000,8770
1735171200000,8770
1735257600000,8776
1735344000000,8782
1735430400000,8783
1735516800000,8783
1735603200000,8782
1735689600000,8779
1735776000000,8781
1735862400000,8778
1735948800000,8775
1736035200000,8781
1736121600000,8788
1736208000000,8792
1736294400000,8794
1736380800000,8794
1736467200000,8833
1736553600000,8833
1736640000000,8836
1736726400000,8838
1736812800000,8846
1736899200000,8849
1736985600000,8848
1737072000000,8854
1737158400000,8862
1737244800000,8857
1737331200000,8860
1737417600000,8857
1737504000000,8860
1737590400000,8864
1737676800000,8871
1737763200000,8867
1737849600000,8870
1737936000000,8870
1738022400000,8865
1738108800000,8869
1738195200000,8874
1738281600000,8871
1738368000000,8874
1738454400000,8882
1738540800000,8879
1738627200000,8882
1738713600000,8882
1738800000000,8884
1738886400000,8883
1738972800000,8882
1739059200000,8888
1739145600000,8938
1739232000000,8940
1739318400000,9002
1739404800000,9002
1739491200000,9004
1739577600000,9006
1739664000000,9015
1739750400000,9015
1739836800000,9040
1739923200000,9035
1740009600000,9040
1740096000000,9040
1740182400000,9039
1740268800000,9039
