Timestamp,Value
1736899200000,1
1736985600000,0
1737072000000,12
1737158400000,26
1737244800000,25
1737331200000,93
1737417600000,126
1737504000000,180
1737590400000,274
1737676800000,295
1737763200000,305
1737849600000,315
1737936000000,327
1738022400000,336
1738108800000,340
1738195200000,349
1738281600000,358
1738368000000,362
1738454400000,368
1738540800000,374
1738627200000,368
1738713600000,371
1738800000000,361
1738886400000,360
1738972800000,363
1739059200000,363
1739145600000,359
1739232000000,351
1739318400000,343
1739404800000,291
1739491200000,296
1739577600000,299
1739664000000,295
1739750400000,295
1739836800000,290
1739923200000,289
1740009600000,309
1740096000000,313
1740182400000,311
1740268800000,312
