tv off (feat. lefty gunplay)
Kendrick Lamar, Bohemian Lonely
1732579200000,478
1732665600000,535
1732752000000,710
1732838400000,795
1732924800000,848
1733011200000,858
1733097600000,901
1733184000000,928
1733270400000,943
1733356800000,943
1733443200000,964
1733529600000,985
1733616000000,1013
1733702400000,1117
1733788800000,1177
1733875200000,1212
1733961600000,1216
1734048000000,1218
1734134400000,1222
1734220800000,1229
1734307200000,1230
1734393600000,1216
1734480000000,1219
1734566400000,1208
1734652800000,1201
1734739200000,1188
1734825600000,1188
1734912000000,1162
1734998400000,1152
1735084800000,1150
1735171200000,1155
1735257600000,1152
1735344000000,1158
1735430400000,1165
1735516800000,1175
1735603200000,1177
1735689600000,1179
1735776000000,1210
1735862400000,1227
1735948800000,1233
1736035200000,1231
1736121600000,1268
1736208000000,1285
1736294400000,1297
1736380800000,1311
1736467200000,1347
1736553600000,1339
1736640000000,1359
1736726400000,1365
1736812800000,1366
1736899200000,1368
1736985600000,1383
1737072000000,1378
1737158400000,1381
1737244800000,1375
1737331200000,1385
1737417600000,1391
1737504000000,1426
1737590400000,1432
1737676800000,1429
1737763200000,1434
1737849600000,1441
1737936000000,1441
1738022400000,1453
1738108800000,1465
1738195200000,1467
1738281600000,1470
1738368000000,1471
1738454400000,1482
1738540800000,1493
1738627200000,1506
1738713600000,1518
1738800000000,1553
1738886400000,1570
1738972800000,1583
1739059200000,1606
1739145600000,1693
1739232000000,1753
1739318400000,1829
1739404800000,1889
1739491200000,1931
1739577600000,1952
1739664000000,1978
1739750400000,1985
1739836800000,2008
1739923200000,2018
1740009600000,2031
1740096000000,2016
1740182400000,1990
1740268800000,1981
