Runaway
Kanye West, Pusha T
1732579200000,4611
1732665600000,4612
1732752000000,4612
1732838400000,4613
1732924800000,4617
1733011200000,4618
1733097600000,4620
1733184000000,4623
1733270400000,4619
1733356800000,4619
1733443200000,4624
1733529600000,4704
1733616000000,4796
1733702400000,4950
1733788800000,4980
1733875200000,5017
1733961600000,5022
1734048000000,5021
1734134400000,5020
1734220800000,5016
1734307200000,5021
1734393600000,5022
1734480000000,5026
1734566400000,5031
1734652800000,5030
1734739200000,5031
1734825600000,5029
1734912000000,5030
1734998400000,5035
1735084800000,5033
1735171200000,5032
1735257600000,5033
1735344000000,5032
1735430400000,5037
1735516800000,5037
1735603200000,5037
1735689600000,5037
1735776000000,5035
1735862400000,5039
1735948800000,5038
1736035200000,5035
1736121600000,5038
1736208000000,5040
1736294400000,5043
1736380800000,5042
1736467200000,5064
1736553600000,5061
1736640000000,5056
1736726400000,5053
1736812800000,5056
1736899200000,5057
1736985600000,5059
1737072000000,5055
1737158400000,5063
1737244800000,5060
1737331200000,5054
1737417600000,5055
1737504000000,5057
1737590400000,5055
1737676800000,5059
1737763200000,5056
1737849600000,5054
1737936000000,5054
1738022400000,5052
1738108800000,5050
1738195200000,5052
1738281600000,5058
1738368000000,5058
1738454400000,5060
1738540800000,5065
1738627200000,5065
1738713600000,5068
1738800000000,5067
1738886400000,5064
1738972800000,5062
1739059200000,5062
1739145600000,5102
1739232000000,5100
1739318400000,5098
1739404800000,5094
1739491200000,5090
1739577600000,5087
1739664000000,5085
1739750400000,5085
1739836800000,5085
1739923200000,5085
1740009600000,5088
1740096000000,5088
1740182400000,5091
1740268800000,5092
