Champagne Coast
Blood Orange, Clock Opera
1732579200000,22448726
1732665600000,22632148
1732752000000,22462613
1732838400000,22406243
1732924800000,22395718
1733011200000,22403914
1733097600000,22444881
1733184000000,22404034
1733270400000,22401615
1733356800000,22418163
1733443200000,22516721
1733529600000,22532558
1733616000000,22568882
1733702400000,22567886
1733788800000,22574074
1733875200000,22624742
1733961600000,22629843
1734048000000,22646857
1734134400000,22603300
1734220800000,22594959
1734307200000,22627969
1734393600000,22566528
1734480000000,22607653
1734566400000,22629175
1734652800000,22667226
1734739200000,22673914
1734825600000,22640369
1734912000000,22679174
1734998400000,22656267
1735084800000,22645729
1735171200000,22747628
1735257600000,24692496
1735344000000,24726583
1735430400000,24747587
1735516800000,24710893
1735603200000,24646095
1735689600000,24649747
1735776000000,24810605
1735862400000,24715802
1735948800000,24691919
1736035200000,24701062
1736121600000,24691885
1736208000000,24669087
1736294400000,24719717
1736380800000,24757022
1736467200000,24821236
1736553600000,24780169
1736640000000,24760233
1736726400000,24799877
1736812800000,24802078
1736899200000,24794488
1736985600000,24818970
1737072000000,24939582
1737158400000,24929963
1737244800000,24934753
1737331200000,24921478
1737417600000,24931187
1737504000000,24905764
1737590400000,24938760
1737676800000,25603721
1737763200000,25448507
1737849600000,25394843
1737936000000,25393115
1738022400000,25345327
1738108800000,25400726
1738195200000,25404904
1738281600000,25395265
1738368000000,25440886
1738454400000,25430075
1738540800000,25570849
1738627200000,25611632
1738713600000,25575319
1738800000000,25475373
1738886400000,25457557
1738972800000,25433480
1739059200000,25581811
1739145600000,25513788
1739232000000,25497884
1739318400000,25543837
1739404800000,25480048
1739491200000,25320359
1739577600000,25471194
1739664000000,25484842
1739750400000,25501225
1739836800000,25533227
1739923200000,25533227
1740009600000,25545264
1740096000000,25711195
1740182400000,25694030
1740268800000,25662289
