Paper Planes
M.I.A., DFA
1732579200000,44145356
1732665600000,44161361
1732752000000,44156857
1732838400000,44220758
1732924800000,44082275
1733011200000,44089933
1733097600000,44245648
1733184000000,44200488
1733270400000,44089757
1733356800000,44095248
1733443200000,44091960
1733529600000,44192561
1733616000000,44399361
1733702400000,44618468
1733788800000,44726990
1733875200000,44764368
1733961600000,44726142
1734048000000,45008216
1734134400000,44984669
1734220800000,45069379
1734307200000,44977421
1734393600000,45058063
1734480000000,45161335
1734566400000,45166161
1734652800000,45106087
1734739200000,45201272
1734825600000,45166168
1734912000000,45456509
1734998400000,45377811
1735084800000,45332245
1735171200000,44762422
1735257600000,45104187
1735344000000,45088525
1735430400000,45146111
1735516800000,45224469
1735603200000,45145748
1735689600000,45092120
1735776000000,45020617
1735862400000,45962078
1735948800000,46384721
1736035200000,46461530
1736121600000,46571459
1736208000000,46849521
1736294400000,46977089
1736380800000,46966978
1736467200000,47168903
1736553600000,47188675
1736640000000,47165497
1736726400000,47214730
1736812800000,47250416
1736899200000,47276932
1736985600000,47241082
1737072000000,51864885
1737158400000,51878785
1737244800000,51768090
1737331200000,51872617
1737417600000,51717327
1737504000000,51704637
1737590400000,51744661
1737676800000,52265315
1737763200000,52173745
1737849600000,52257657
1737936000000,52271005
1738022400000,52220079
1738108800000,52239839
1738195200000,52336168
1738281600000,52264585
1738368000000,52291526
1738454400000,52496201
1738540800000,52369407
1738627200000,52445759
1738713600000,52456035
1738800000000,53271241
1738886400000,53740728
1738972800000,53762517
1739059200000,53703678
1739145600000,53941730
1739232000000,53985749
1739318400000,54080562
1739404800000,53119179
1739491200000,53131295
1739577600000,53179192
1739664000000,53224066
1739750400000,53205657
1739836800000,53591117
1739923200000,53518989
1740009600000,53556619
1740096000000,53556502
1740182400000,53560708
1740268800000,53562460
