luther (with sza)
Kendrick Lamar, SZA
1732579200000,74998245
1732665600000,75884260
1732752000000,87796712
1732838400000,124750427
1732924800000,125753661
1733011200000,121816701
1733097600000,124963994
1733184000000,126526366
1733270400000,125512404
1733356800000,125167003
1733443200000,128638995
1733529600000,131676060
1733616000000,130089763
1733702400000,130295799
1733788800000,137487577
1733875200000,139291762
1733961600000,139004233
1734048000000,149833481
1734134400000,147951410
1734220800000,148143254
1734307200000,148247233
1734393600000,145418282
1734480000000,145847668
1734566400000,145715861
1734652800000,145455272
1734739200000,144815598
1734825600000,144781221
1734912000000,144652794
1734998400000,143998486
1735084800000,125233554
1735171200000,121546446
1735257600000,144269559
1735344000000,146576181
1735430400000,146975627
1735516800000,146582175
1735603200000,144547163
1735689600000,144395248
1735776000000,144371401
1735862400000,144584888
1735948800000,144952113
1736035200000,145202384
1736121600000,146798565
1736208000000,147059340
1736294400000,148847811
1736380800000,148173867
1736467200000,149438167
1736553600000,150158152
1736640000000,149939668
1736726400000,151388836
1736812800000,150803265
1736899200000,151004113
1736985600000,150915837
1737072000000,151524095
1737158400000,151911777
1737244800000,152600745
1737331200000,151516017
1737417600000,152094531
1737504000000,151907288
1737590400000,150998170
1737676800000,151237318
1737763200000,151142752
1737849600000,150565180
1737936000000,150862100
1738022400000,150191949
1738108800000,151887650
1738195200000,151632189
1738281600000,150811066
1738368000000,148849724
1738454400000,150554935
1738540800000,150608338
1738627200000,151109292
1738713600000,151458718
1738800000000,151980556
1738886400000,151797291
1738972800000,151760599
1739059200000,151868093
1739145600000,152511830
1739232000000,160802404
1739318400000,165218776
1739404800000,166316201
1739491200000,176421232
1739577600000,177019611
1739664000000,174705664
1739750400000,173699718
1739836800000,178767083
1739923200000,182844059
1740009600000,179576387
1740096000000,182769015
1740182400000,182850284
1740268800000,183240344
