APT.
ROSÉ, Bruno Mars
1732579200000,259386404
1732665600000,260618749
1732752000000,261155475
1732838400000,261783081
1732924800000,261894448
1733011200000,261843094
1733097600000,263045506
1733184000000,265215481
1733270400000,266446653
1733356800000,267112033
1733443200000,267211137
1733529600000,267157400
1733616000000,268450068
1733702400000,269754862
1733788800000,270875027
1733875200000,271792234
1733961600000,269402164
1734048000000,268729530
1734134400000,270971825
1734220800000,267848354
1734307200000,268166788
1734393600000,269601034
1734480000000,269267314
1734566400000,269500171
1734652800000,269918360
1734739200000,266319957
1734825600000,266694498
1734912000000,266939196
1734998400000,266085788
1735084800000,252038829
1735171200000,256129257
1735257600000,267993336
1735344000000,268218768
1735430400000,269075953
1735516800000,269587857
1735603200000,268992337
1735689600000,268832498
1735776000000,268234673
1735862400000,276104752
1735948800000,272723192
1736035200000,269445368
1736121600000,268875164
1736208000000,272766508
1736294400000,277345790
1736380800000,277341813
1736467200000,278205776
1736553600000,278407699
1736640000000,274343324
1736726400000,276440816
1736812800000,276933984
1736899200000,281142727
1736985600000,281744459
1737072000000,277054599
1737158400000,276975628
1737244800000,277000031
1737331200000,276995515
1737417600000,276660019
1737504000000,276261942
1737590400000,275914359
1737676800000,276426472
1737763200000,276535213
1737849600000,276472419
1737936000000,277493086
1738022400000,277666586
1738108800000,277797486
1738195200000,277819505
1738281600000,276032772
1738368000000,275686345
1738454400000,275679374
1738540800000,276225740
1738627200000,274133558
1738713600000,274277705
1738800000000,274465262
1738886400000,270372249
1738972800000,270517044
1739059200000,270975688
1739145600000,271588073
1739232000000,270096713
1739318400000,269493494
1739404800000,268432852
1739491200000,267629233
1739577600000,267981180
1739664000000,268389707
1739750400000,267957439
1739836800000,266346481
1739923200000,265697768
1740009600000,266580636
1740096000000,273121525
1740182400000,272958981
1740268800000,273281701
