tv off (feat. lefty gunplay)
Kendrick Lamar, Bohemian Lonely
1732579200000,75582320
1732665600000,76916341
1732752000000,77705429
1732838400000,85869385
1732924800000,83672126
1733011200000,82968915
1733097600000,82297428
1733184000000,84124132
1733270400000,94897171
1733356800000,93716626
1733443200000,92800441
1733529600000,95072015
1733616000000,92779735
1733702400000,93129435
1733788800000,98809434
1733875200000,96822192
1733961600000,97033738
1734048000000,98156527
1734134400000,97897375
1734220800000,97915123
1734307200000,97870220
1734393600000,97272750
1734480000000,95411313
1734566400000,95798099
1734652800000,99829500
1734739200000,99411087
1734825600000,98111594
1734912000000,80640946
1734998400000,80643618
1735084800000,80603072
1735171200000,77887518
1735257600000,98140475
1735344000000,100118207
1735430400000,100983704
1735516800000,98307844
1735603200000,99357038
1735689600000,99825658
1735776000000,98945539
1735862400000,137575744
1735948800000,137654376
1736035200000,137608729
1736121600000,138128631
1736208000000,137936513
1736294400000,141248728
1736380800000,141297243
1736467200000,141733529
1736553600000,141654390
1736640000000,141761466
1736726400000,139536965
1736812800000,141641493
1736899200000,141779681
1736985600000,137977461
1737072000000,142775103
1737158400000,140632694
1737244800000,140651813
1737331200000,140856365
1737417600000,143100116
1737504000000,143178555
1737590400000,143563083
1737676800000,142664012
1737763200000,140503885
1737849600000,140451506
1737936000000,139348334
1738022400000,140186392
1738108800000,140376502
1738195200000,140376345
1738281600000,140685808
1738368000000,140511299
1738454400000,140432574
1738540800000,140808510
1738627200000,140983275
1738713600000,143115620
1738800000000,143968127
1738886400000,144577550
1738972800000,144463892
1739059200000,144259086
1739145600000,146134175
1739232000000,151994906
1739318400000,152932371
1739404800000,154561007
1739491200000,157275035
1739577600000,156594012
1739664000000,156705479
1739750400000,157112655
1739836800000,155561037
1739923200000,155834421
1740009600000,156573811
1740096000000,156471672
1740182400000,155482387
1740268800000,155354693
