Die With A Smile
Lady Gaga, Bruno Mars
1732579200000,3361747
1732665600000,3370910
1732752000000,3379294
1732838400000,3389095
1732924800000,3400613
1733011200000,3411601
1733097600000,3418419
1733184000000,3424403
1733270400000,3431571
1733356800000,3437577
1733443200000,3443779
1733529600000,3452827
1733616000000,3462970
1733702400000,3468678
1733788800000,3468678
1733875200000,3468678
1733961600000,3470234
1734048000000,3464441
1734134400000,3499334
1734220800000,3497679
1734307200000,3498761
1734393600000,3498761
1734480000000,3500650
1734566400000,3553424
1734652800000,3553424
1734739200000,3553424
1734825600000,3543725
1734912000000,3543725
1734998400000,3543888
1735084800000,3544082
1735171200000,3544051
1735257600000,3544051
1735344000000,3544051
1735430400000,3544051
1735516800000,3544051
1735603200000,3544097
1735689600000,3544097
1735776000000,3543907
1735862400000,3543907
1735948800000,3543907
1736035200000,3543908
1736121600000,3543908
1736208000000,3543908
1736294400000,3543908
1736380800000,3543908
1736467200000,3543908
1736553600000,3543908
1736640000000,3543908
1736726400000,3543908
1736812800000,3543908
1736899200000,3543908
1736985600000,3803186
1737072000000,3819705
1737158400000,3794657
1737244800000,3794604
1737331200000,3794604
1737417600000,3794611
1737504000000,3794611
1737590400000,3794611
1737676800000,3794611
1737763200000,3846285
1737849600000,3853673
1737936000000,3859014
1738022400000,3859092
1738108800000,3868303
1738195200000,3866742
1738281600000,3876514
1738368000000,3882899
1738454400000,3890219
1738540800000,3895285
1738627200000,3894957
1738713600000,3906431
1738800000000,3913060
1738886400000,3920680
1738972800000,3919710
1739059200000,3939659
1739145600000,3956186
1739232000000,3956182
1739318400000,3977846
1739404800000,3977960
1739491200000,4014800
1739577600000,4013746
1739664000000,4040114
1739750400000,4046640
1739836800000,4045470
1739923200000,4061645
1740009600000,4068666
1740096000000,4077132
1740182400000,4087372
1740268800000,4087367
