Paper Planes
M.I.A., DFA
1732579200000,250635
1732665600000,250635
1732752000000,250635
1732838400000,250635
1732924800000,250635
1733011200000,251468
1733097600000,251468
1733184000000,251468
1733270400000,251468
1733356800000,251468
1733443200000,251468
1733529600000,251468
1733616000000,251468
1733702400000,251468
1733788800000,251468
1733875200000,251468
1733961600000,251468
1734048000000,251468
1734134400000,251468
1734220800000,251468
1734307200000,251468
1734393600000,251468
1734480000000,251468
1734566400000,251468
1734652800000,251468
1734739200000,251468
1734825600000,251468
1734912000000,251468
1734998400000,251468
1735084800000,251468
1735171200000,251468
1735257600000,251468
1735344000000,251468
1735430400000,251468
1735516800000,251468
1735603200000,251468
1735689600000,251468
1735776000000,251468
1735862400000,251468
1735948800000,251468
1736035200000,251468
1736121600000,251468
1736208000000,251468
1736294400000,251468
1736380800000,251468
1736467200000,251468
1736553600000,251468
1736640000000,251468
1736726400000,251468
1736812800000,251468
1736899200000,251468
1736985600000,251468
1737072000000,251468
1737158400000,251468
1737244800000,251468
1737331200000,251468
1737417600000,251468
1737504000000,251468
1737590400000,251468
1737676800000,251468
1737763200000,251468
1737849600000,251474
1737936000000,251474
1738022400000,253942
1738108800000,253942
1738195200000,273316
1738281600000,273316
1738368000000,273316
1738454400000,274304
1738540800000,274304
1738627200000,274304
1738713600000,274304
1738800000000,274525
1738886400000,274525
1738972800000,274525
1739059200000,274525
1739145600000,274525
1739232000000,274525
1739318400000,274525
1739404800000,274525
1739491200000,274525
1739577600000,274525
1739664000000,274525
1739750400000,274525
1739836800000,274525
1739923200000,274525
1740009600000,274525
1740096000000,277414
1740182400000,277414
1740268800000,277414
