luther (with sza)
Kendrick Lamar, SZA
1732579200000,9347
1732665600000,13767
1732752000000,18158
1732838400000,23197
1732924800000,28813
1733011200000,36323
1733097600000,44219
1733184000000,54057
1733270400000,63377
1733356800000,73177
1733443200000,83071
1733529600000,93800
1733616000000,107761
1733702400000,118082
1733788800000,118082
1733875200000,147413
1733961600000,147461
1734048000000,174803
1734134400000,174803
1734220800000,202072
1734307200000,202072
1734393600000,202072
1734480000000,211159
1734566400000,212515
1734652800000,266727
1734739200000,266727
1734825600000,287528
1734912000000,287528
1734998400000,289020
1735084800000,317713
1735171200000,317713
1735257600000,317713
1735344000000,317713
1735430400000,317713
1735516800000,317713
1735603200000,317713
1735689600000,317713
1735776000000,317713
1735862400000,317713
1735948800000,317713
1736035200000,317713
1736121600000,317713
1736208000000,444057
1736294400000,444057
1736380800000,444057
1736467200000,444057
1736553600000,444057
1736640000000,455733
1736726400000,455733
1736812800000,455733
1736899200000,455733
1736985600000,455921
1737072000000,455921
1737158400000,517520
1737244800000,522789
1737331200000,522789
1737417600000,522807
1737504000000,536363
1737590400000,536363
1737676800000,536363
1737763200000,536370
1737849600000,561168
1737936000000,569458
1738022400000,575104
1738108800000,581373
1738195200000,586055
1738281600000,590799
1738368000000,591247
1738454400000,601755
1738540800000,606617
1738627200000,607054
1738713600000,615557
1738800000000,620213
1738886400000,625686
1738972800000,631680
1739059200000,639151
1739145600000,656382
1739232000000,676458
1739318400000,692579
1739404800000,712110
1739491200000,741010
1739577600000,767152
1739664000000,769730
1739750400000,823489
1739836800000,843620
1739923200000,866724
1740009600000,885801
1740096000000,907374
1740182400000,929159
1740268800000,929162
