APT.
ROSÉ, Bruno Mars
1732579200000,11573141
1732665600000,11742835
1732752000000,13317449
1732838400000,13509120
1732924800000,13711591
1733011200000,13903546
1733097600000,14036996
1733184000000,14177082
1733270400000,14304578
1733356800000,14428141
1733443200000,14560237
1733529600000,14727714
1733616000000,14894139
1733702400000,15028704
1733788800000,15031520
1733875200000,15075118
1733961600000,15089100
1734048000000,15090780
1734134400000,15655420
1734220800000,15671645
1734307200000,15756836
1734393600000,15756836
1734480000000,16228727
1734566400000,16229963
1734652800000,16266484
1734739200000,16530723
1734825600000,16539180
1734912000000,16806973
1734998400000,16841852
1735084800000,16843543
1735171200000,16946709
1735257600000,17060615
1735344000000,17234123
1735430400000,17237676
1735516800000,17310273
1735603200000,17317195
1735689600000,17316834
1735776000000,17330526
1735862400000,17330741
1735948800000,17384210
1736035200000,17383842
1736121600000,17384231
1736208000000,17385584
1736294400000,17995559
1736380800000,18112110
1736467200000,18248148
1736553600000,18274417
1736640000000,18343705
1736726400000,18376567
1736812800000,18435010
1736899200000,18629029
1736985600000,19256930
1737072000000,19320935
1737158400000,19350561
1737244800000,19419367
1737331200000,19418955
1737417600000,19419139
1737504000000,19419091
1737590400000,19419091
1737676800000,19419091
1737763200000,19591532
1737849600000,19663102
1737936000000,19692580
1738022400000,19697918
1738108800000,19747617
1738195200000,19758362
1738281600000,19808265
1738368000000,19818354
1738454400000,19874615
1738540800000,19907157
1738627200000,19922669
1738713600000,19955370
1738800000000,19979193
1738886400000,20007075
1738972800000,20016224
1739059200000,20064274
1739145600000,20087955
1739232000000,20101922
1739318400000,20130075
1739404800000,20147496
1739491200000,20171389
1739577600000,20192244
1739664000000,20209325
1739750400000,20232975
1739836800000,20249542
1739923200000,20265531
1740009600000,20280135
1740096000000,20297962
1740182400000,20317195
1740268800000,20322398
