tv off (feat. lefty gunplay)
Kendrick Lamar, Bohemian Lonely
1732579200000,21381
1732665600000,28643
1732752000000,34986
1732838400000,40286
1732924800000,46786
1733011200000,56160
1733097600000,64611
1733184000000,72151
1733270400000,79748
1733356800000,87009
1733443200000,92009
1733529600000,97412
1733616000000,103574
1733702400000,109015
1733788800000,111678
1733875200000,111678
1733961600000,111678
1734048000000,111678
1734134400000,111834
1734220800000,122377
1734307200000,122672
1734393600000,122672
1734480000000,129386
1734566400000,129386
1734652800000,148099
1734739200000,155450
1734825600000,155510
1734912000000,155510
1734998400000,155510
1735084800000,155510
1735171200000,155510
1735257600000,155510
1735344000000,155510
1735430400000,155510
1735516800000,155628
1735603200000,155628
1735689600000,155628
1735776000000,155628
1735862400000,155628
1735948800000,155705
1736035200000,190605
1736121600000,190619
1736208000000,190619
1736294400000,190619
1736380800000,209025
1736467200000,209025
1736553600000,209025
1736640000000,209025
1736726400000,209102
1736812800000,209102
1736899200000,209158
1736985600000,209158
1737072000000,223433
1737158400000,223433
1737244800000,226588
1737331200000,226588
1737417600000,226588
1737504000000,240753
1737590400000,240753
1737676800000,240753
1737763200000,248945
1737849600000,250847
1737936000000,253568
1738022400000,255442
1738108800000,257436
1738195200000,259124
1738281600000,260808
1738368000000,261194
1738454400000,264062
1738540800000,268152
1738627200000,270086
1738713600000,273528
1738800000000,274024
1738886400000,279363
1738972800000,282318
1739059200000,287372
1739145600000,303870
1739232000000,310858
1739318400000,313803
1739404800000,316352
1739491200000,323482
1739577600000,328161
1739664000000,333494
1739750400000,337976
1739836800000,341823
1739923200000,346112
1740009600000,349214
1740096000000,352497
1740182400000,355932
1740268800000,356280
